Métrica[Métrica],Métrica[Métrica Campos],Métrica[Métrica Orden]
Mortalidad %,'GBA_Rendimientos'[Tasa de Mortalidad Hospitalaria %],0
Días de estadía,'GBA_Rendimientos'[Promedio Días de Estadía],1
