DIM_Establecimientos[establecimiento_id],DIM_Establecimientos[establecimiento_nombre],DIM_Establecimientos[Dependencia],DIM_Establecimientos[Municipio],DIM_Establecimientos[Egresos 22_24],DIM_Establecimientos[Egresos Anual 22_24],DIM_Establecimientos[Estadia Media 22_24],DIM_Establecimientos[Mortalidad 22_24],DIM_Establecimientos[Camas 22_24],DIM_Establecimientos[Ocupacion 22_24],DIM_Establecimientos[Giro 22_24],DIM_Establecimientos[Segmento],DIM_Establecimientos[Mediana LOS Dep],DIM_Establecimientos[Mediana Mort Dep],DIM_Establecimientos[LOS Ratio],DIM_Establecimientos[Mort Ratio],DIM_Establecimientos[Clasificacion Capacidad],DIM_Establecimientos[Desempeno Internacion]
82600012,Hosp. Zonal Gral. de Ag. M. V. de Martinez,Municipal,Trenque Lauquen,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
80500321,Hosp. Zonal Gral. de Ag. M. V. de Martinez,Municipal,Tigre,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
80500452,Hosp. Zonal Gral. de Ag. M. V. de Martinez,Municipal,Tigre,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
80500410,Hosp. Zonal Gral. de Ag. M. V. de Martinez,Municipal,Tigre,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
80500401,Hosp. Zonal Gral. de Ag. M. V. de Martinez,Municipal,Tigre,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
80500380,Hosp. Zonal Gral. de Ag. M. V. de Martinez,Municipal,Tigre,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
80500339,Hosp. Zonal Gral. de Ag. M. V. de Martinez,Municipal,Tigre,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
80500274,Hosp. Zonal Gral. de Ag. M. V. de Martinez,Municipal,Tigre,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
80500266,Hosp. Zonal Gral. de Ag. M. V. de Martinez,Municipal,Tigre,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
80500215,Hosp. Zonal Gral. de Ag. M. V. de Martinez,Municipal,Tigre,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
82600021,Hosp. Zonal Gral. de Ag. M. V. de Martinez,Municipal,Trenque Lauquen,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
82600055,Hosp. Zonal Gral. de Ag. M. V. de Martinez,Municipal,Trenque Lauquen,26143,"8714,333333333334","2,497303293424626","0,025590024098228973",97,"0,6908901349713996","89,83848797250859",Agudos,"3,107649896623019","0,025671042729325196","0,8035986602410919","0,9968439680479487",Normal,Dentro de banda
