DIM_Geografia[region_sanitaria],[Base],[Final]
XII,3999501,4287424
II,1167560,2553029
III,1102653,2885276
VIII,3286374,9532525
V,12715964,35074144
VI,9811521,28811680
X,1225058,3619317
XI,5677147,12634372
VII,6197499,11133492
IX,1304987,4157928
IV,1967278,3257472
I,2011433,3849671
,,29720
