GBA_Rendimientos[anio],GBA_Rendimientos[dependencia],GBA_Rendimientos[establecimiento_id],GBA_Rendimientos[region_sanitaria],GBA_Rendimientos[municipio_id],GBA_Rendimientos[municipio_nombre],GBA_Rendimientos[establecimiento_nombre],GBA_Rendimientos[consultas_odontologicas],GBA_Rendimientos[consultas_medicas],GBA_Rendimientos[consultas_paramedicas],GBA_Rendimientos[interconsultas],GBA_Rendimientos[egresos],GBA_Rendimientos[dias_camas_disponible],GBA_Rendimientos[promedio_camas_disponibles],GBA_Rendimientos[pacientes_dias],GBA_Rendimientos[porcentaje_ocupacion],GBA_Rendimientos[giro_de_camas],GBA_Rendimientos[dias_estadia],GBA_Rendimientos[promedio_dias_estadia],GBA_Rendimientos[defunciones],GBA_Rendimientos[tasa_mortalidad_hospitalaria],GBA_Rendimientos[columna_extra],GBA_Rendimientos[Fecha]
2010,Municipal,,V,060882,Zárate,Sala de Primeros Auxilios Almirante Brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/1/2010 00:00:00
2010,Municipal,,V,060882,Zárate,Sala de Primeros Auxilios Barrio Capdepon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/1/2010 00:00:00
2010,Municipal,,V,060882,Zárate,Sala de Primeros Auxilios Barrio Houssay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/1/2010 00:00:00
2010,Municipal,,V,060882,Zárate,Sala de Primeros Auxilios Barrio Zárate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/1/2010 00:00:00
2010,Municipal,,V,060882,Zárate,Sala de Primeros Auxilios Eduardo Brand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/1/2010 00:00:00
2010,Municipal,,V,060882,Zárate,Sala de Primeros Auxilios Pro Tierra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/1/2010 00:00:00
2010,Municipal,,V,060882,Zárate,Sala de Primeros Auxilios San Miguel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/1/2010 00:00:00
2010,Municipal,,V,060882,Zárate,Sala de Primeros Auxilios Villa Fox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/1/2010 00:00:00
2010,Municipal,,V,060882,Zárate,Sala de Primeros Auxilios Villa Messoni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/1/2010 00:00:00
2013,Municipal,,V,060882,Zárate,Sala de Primeros Auxilios Villa Fox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/1/2013 00:00:00
2013,Municipal,,V,060882,Zárate,Centro Melillo Atucha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/1/2013 00:00:00
2013,Municipal,,V,060882,Zárate,Sala de Primeros Auxilios Eduardo Brand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/1/2013 00:00:00
2013,Municipal,,V,060882,Zárate,Sala de Primeros Auxilios Barrio Houssay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/1/2013 00:00:00
2013,Municipal,,V,060882,Zárate,Sala de Primeros Auxilios Barrio Capdepon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/1/2013 00:00:00
2013,Municipal,,V,060882,Zárate,Sala de Primeros Auxilios Almirante Brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/1/2013 00:00:00
2013,Municipal,,V,060882,Zárate,Hogar del Niño Santa Teresa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/1/2013 00:00:00
2013,Municipal,,V,060882,Zárate,Sala de Primeros Auxilios 25 de Mayo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/1/2013 00:00:00
2013,Municipal,,V,060882,Zárate,Sala de Primeros Auxilios San Miguel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/1/2013 00:00:00
2013,Municipal,,V,060882,Zárate,Sala de Primeros Auxilios Villa Messoni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/1/2013 00:00:00
2013,Municipal,,V,060882,Zárate,Sala de Primeros Auxilios Barrio Zárate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/1/2013 00:00:00
2013,Municipal,,V,060882,Zárate,Sala de Primeros Auxilios Pro Tierra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/1/2013 00:00:00
2015,Municipal,,V,060756,San Isidro,Centro Abierto Salud Asistencial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/1/2015 00:00:00
2015,Municipal,,V,060805,Tigre,Hospital Municipal de Diagnostico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/1/2015 00:00:00
2015,Municipal,,V,060861,Vicente López,Unidad de Atención Primaria Dr. Axenfeld,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/1/2015 00:00:00
2015,Municipal,,V,060861,Vicente López,Unidad de Atención Primaria Dr. Angel Chávez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/1/2015 00:00:00
2007,Municipal,,V,060371,General San Martín,Servicio de Emergencias Municipal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/1/2007 00:00:00
2007,Municipal,,V,060412,José C. Paz,Centro Asistencial Frino Sur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/1/2007 00:00:00
2007,Municipal,,V,060515,Malvinas Argentinas,Centro Asistencial Unión Vecinal Villa de Mayo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/1/2007 00:00:00
2007,Municipal,,V,060515,Malvinas Argentinas,Unidad Funcional 8 de Octubre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/1/2007 00:00:00
2007,Municipal,,V,060805,Tigre,Centro de Salud General Pacheco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/1/2007 00:00:00
2007,Municipal,,V,060861,Vicente López,Unidad de Atención Primaria Dr. Angel Chávez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/1/2007 00:00:00
