anio,dependencia,establecimiento_id,region_sanitaria,municipio_id,municipio_nombre,establecimiento_nombre,consultas_odontologicas,consultas_medicas,consultas_paramedicas,interconsultas,egresos,dias_camas_disponible,promedio_camas_disponibles,pacientes_dias,porcentaje_ocupacion,dias_estadia,promedio_dias_estadia,defunciones,giro_de_camas,tasa_mortalidad_hospitalaria
2024,Municipal,5600778,I,6056,Bahía Blanca,Unid. Sanit. Patagonia,,1.789,527,,,,,,,,,,,
2024,Municipal,5600786,I,6056,Bahía Blanca,Ctro. de Atenc. Prim. Gral. D. Cerri,1.451,33.76,9.901,,,,,,,,,,,
2024,Municipal,5600794,I,6056,Bahía Blanca,Unid. Sanit. Sanchez Elías,,7.692,1.49,,,,,,,,,,,
2024,Municipal,5600808,I,6056,Bahía Blanca,Unid. Sanit. Floresta,,6.779,1.204,,,,,,,,,,,
2024,Municipal,5600816,I,6056,Bahía Blanca,Unid. Sanit. Aldea Romana,0,5.405,1.466,,,,,,,,,,,
2024,Municipal,5600841,I,6056,Bahía Blanca,Unid. Sanit. Villa Bordeau,,7.029,1.992,,,,,,,,,,,
2024,Municipal,5600859,I,6056,Bahía Blanca,Unid. Sanit. Centenario,,0,,,,,,,,,,,,
2024,Municipal,5600867,I,6056,Bahía Blanca,Unid. Sanit. Cnel. R. Estomba,2.07,13.572,2.223,,,,,,,,,,,
2024,Municipal,5600891,I,6056,Bahía Blanca,Unid. Sanit. Km.5,271,13,20,,,,,,,,,,,
2024,Municipal,5600905,I,6056,Bahía Blanca,Unid. Sanit. Avellaneda,1.523,7.676,2.141,,,,,,,,,,,
2024,Municipal,5601022,I,6056,Bahía Blanca,Unid. Sanit. Luján,,6.561,264,,,,,,,,,,,
2024,Municipal,5601031,I,6056,Bahía Blanca,Unid. Sanit. E. Julio ,1.889,6.015,1.493,,,,,,,,,,,
2024,Municipal,5601065,I,6056,Bahía Blanca,Unid. Sanit. Miramar,4.735,8.261,2.128,,,,,,,,,,,
2024,Municipal,5601073,I,6056,Bahía Blanca,Unid. Sanit. Colón,0,0,52,,,,,,,,,,,
2024,Municipal,5601081,I,6056,Bahía Blanca,Unid. Sanit. Obrero Villa Mitre,0,0,0,,,,,,,,,,,
2024,Municipal,5601090,I,6056,Bahía Blanca,Unid. Sanit. Loma Paraguaya,,7.566,1.482,,,,,,,,,,,
2024,Municipal,5601103,I,6056,Bahía Blanca,Unid. Sanit. Nueva Belgrano,,5.235,2.151,,,,,,,,,,,
2024,Municipal,5601146,I,6056,Bahía Blanca,Unid. Sanit. Saladero,0,6.517,1.602,,,,,,,,,,,
2024,Municipal,5601154,I,6056,Bahía Blanca,Unid. Sanit. Villa Serra,2.27,10.399,4.021,,,,,,,,,,,
2024,Municipal,5601197,I,6056,Bahía Blanca,Unid. Sanit. Villa Esperanza,,9.718,3.098,,,,,,,,,,,
2024,Municipal,5601201,I,6056,Bahía Blanca,Unid. Sanit. Grumbein,2.13,6.2,1.819,,,,,,,,,,,
2024,Municipal,5601219,I,6056,Bahía Blanca,Unid. Sanit. 12 de Octubre,113,9.998,2.195,,,,,,,,,,,
2024,Municipal,5601235,I,6056,Bahía Blanca,Unid. Sanit. Villa Gloria,,9.367,2.27,,,,,,,,,,,
2024,Municipal,5601324,I,6056,Bahía Blanca,Ctro. de Salud Dr. Leandro Piñeiro,3.257,22.798,5.301,,,,,,,,,,,
2024,Municipal,5601413,I,6056,Bahía Blanca,Unid. Sanit. Villa Muñiz,,6.224,887,,,,,,,,,,,
2024,Municipal,5601448,I,6056,Bahía Blanca,Unid. Sanit. Latino,,1.31,695,,,,,,,,,,,
2024,Municipal,5601561,I,6056,Bahía Blanca,“Centro de Salud San Dionisio”,2.947,6.034,916,,,,,,,,,,,
2024,Municipal,5601821,I,6056,Bahía Blanca,Centro de Salud “9 de Noviembre,4.932,11.084,893,,,,,,,,,,,
2024,Municipal,5601831,I,6056,Bahía Blanca,“Centro de Salud Norte” ,2.636,13.577,1.547,,,,,,,,,,,
2024,Municipal,5601948,I,6056,Bahía Blanca,“Centro de Salud Dharma” ,18,7.097,947,,,,,,,,,,,
2024,Municipal,5601957,I,6056,Bahía Blanca,Centro de Salud Milstein,19,7.997,1.488,,,,,,,,,,,
2024,Municipal,60200011,I,6602,Patagones,Hosp. Munic. de Agudos Dr. Pedro Ecay,1.97,90.116,22.445,,3.63,35.504,97,19.436,"54,7","37,3",10.336,"2,8",143,"3,9"
2024,Municipal,60200045,I,6602,Patagones,Unid. Sanit. J. A. Pradere,317,5.491,886,,,,,,,,,,,
2024,Municipal,60200053,I,6602,Patagones,Hosp. Munic. de  Stroeder,620,14.223,1.923,,360,5.124,14,725,"14,1","25,6",711,"2,0",12,"3,3"
2024,Municipal,60200061,I,6602,Patagones,Hosp. Munic. de Villalonga,1.353,24.87,3.897,,983,7.686,21,2.425,"31,6","46,7",2.462,"2,5",13,"1,3"
2024,Municipal,60200088,I,6602,Patagones,Unid. Sanit. San Blas,369,8.421,839,,,,,,,,,,,
2024,Municipal,60200096,I,6602,Patagones,Ctro. Perif. Villa del Carmen,709,3.752,132,,,,,,,,,,,
2024,Municipal,60200100,I,6602,Patagones,Unid. Sanit. J. B. Casas,,1.07,,,,,,,,,,,,
2024,Municipal,60200118,I,6602,Patagones,Unid. Sanit. Cardenal Cagliero,88,284,,,,,,,,,,,,
2024,Municipal,60200126,I,6602,Patagones,Ctro. Perif. Villa Morando,677,8.344,374,,,,,,,,,,,
2024,Municipal,60200134,I,6602,Patagones,Ctro. Perif. Bo. Lindo,460,2.465,146,,,,,,,,,,,
2024,Municipal,60200142,I,6602,Patagones,Ctro. Perif. Bo. El Progreso,314,1.724,190,,,,,,,,,,,
2024,Municipal,18200019,I,6182,Coronel de Marina Leonardo Rosales,Sala Médica Pehuen-có,970,3.624,,,,,,,,,,,,
2024,Municipal,18200043,I,6182,Coronel de Marina Leonardo Rosales,Hosp. Munic. Eva Perón,6.258,92.665,8.765,,2.195,13.173,36,9.617,"73,0","60,8",11.285,"5,1",167,"7,6"
2024,Municipal,18200051,I,6182,Coronel de Marina Leonardo Rosales,Sala Médica Villa Delmar,,2.293,,,,,,,,,,,,
2024,Municipal,18200060,I,6182,Coronel de Marina Leonardo Rosales,Sala Médica Bajo Hondo,166,1.322,,,,,,,,,,,,
2024,Municipal,18200078,I,6182,Coronel de Marina Leonardo Rosales,Sala Médica Va. Gral. Arias,471,4.239,,,,,,,,,,,,
2024,Municipal,18200086,I,6182,Coronel de Marina Leonardo Rosales,Sala Médica Ciudad Atlántida,,3.017,,,,,,,,,,,,
2024,Municipal,18200132,I,6182,Coronel de Marina Leonardo Rosales,Sala de Atenc. Primaria Villa Laura,3.206,9.208,,,,,,,,,,,,
2024,Municipal,18200141,I,6182,Coronel de Marina Leonardo Rosales,Sala Médica El Trébol,,1.177,,,,,,,,,,,,
2024,Municipal,18200159,I,6182,Coronel de Marina Leonardo Rosales,Sala Médica Ing. Luiggi,1.522,8.555,,,,,,,,,,,,
2024,Municipal,18200167,I,6182,Coronel de Marina Leonardo Rosales,Sala Médica Nueva Bahía Blanca,1.381,4.64,,,,,,,,,,,,
2024,Municipal,18200175,I,6182,Coronel de Marina Leonardo Rosales,Sala Médica Los Rosales,,660,,,,,,,,,,,,
2024,Municipal,18200191,I,6182,Coronel de Marina Leonardo Rosales,Hogar Munic. del Anciano,,,,,13,17.934,49,9.693,"54,0","0,3",9.557,"735,2",0,"0,0"
2024,Municipal,18200213,I,6182,Coronel de Marina Leonardo Rosales,Sala Médica El Congreso,,1.315,,,,,,,,,,,,
2024,Municipal,18900037,I,6189,Coronel Dorrego,Hosp. Local Gral. María Eva Duarte de Perón,4.257,97.155,23.814,,1.496,21.228,58,10.009,"47,1","25,7",12.641,"8,4",35,"2,3"
2024,Municipal,18900053,I,6189,Coronel Dorrego,Unid. Sanit. y Hogar Geriátrico El Perdido,441,5.068,1.285,,62,5.852,16,5.283,"90,3","3,9",5.82,"93,9",4,"6,5"
2024,Municipal,18900061,I,6189,Coronel Dorrego,Hosp. Munic. de Oriente,670,44.221,14.417,,118,9.944,27,5.345,"53,8","4,3",7.027,"59,6",14,"11,9"
2024,Municipal,18900070,I,6189,Coronel Dorrego,Unid. Sanit. de Aparicio,331,1.203,,,,,,,,,,,,
2024,Municipal,18900088,I,6189,Coronel Dorrego,Unid. Sanit. Irene,,,,,,,,,,,,,,
2024,Municipal,18900096,I,6189,Coronel Dorrego,Unid. Sanit. de San Román,,685,,,,,,,,,,,,
2024,Municipal,18900100,I,6189,Coronel Dorrego,Unid. Sanit. de R. S. Loydi,1.384,5.105,2.645,,,,,,,,,,,
2024,Municipal,18900118,I,6189,Coronel Dorrego,Unid. Sanit. Marisol,,3.372,,,,,,,,,,,,
2024,Municipal,18900126,I,6189,Coronel Dorrego,Unid. Sanit. Dr. Juan C. Conti,,6.623,1.16,,,,,,,,,,,
2024,Municipal,18900134,I,6189,Coronel Dorrego,Hogar Geriátrico Pres. N. Ramos Ojeda,,,,,97,14.995,41,12.347,"82,3","2,4",13.273,"136,8",1,"1,0"
2024,Municipal,19600011,I,6196,Coronel Pringles,Hosp. Munic. Dr. Cabrera,2.055,36.377,22.531,,2.799,39.894,109,29.05,"72,8","25,6",29.746,"10,6",178,"6,4"
