GBA_Rendimientos[anio],[Egresos],[Defunciones],[DiasEstadia],[Mortalidad],[Estadia]
2018,2787,398,24938,"0,14280588446358092","8,947972730534625"
2019,2555,462,27656,"0,18082191780821918","10,82426614481409"
2020,1830,350,19426,"0,1912568306010929","10,615300546448088"
2021,1360,289,17576,"0,2125","12,923529411764706"
2022,5570,483,32074,"0,08671454219030521","5,75834829443447"
2023,3053,508,28614,"0,1663937111038323","9,372420569931215"
2024,2032,681,29316,"0,33513779527559057","14,42716535433071"
